Iteration,Model,epoch,loss,Clean Acc (%)
iter2,PGD Adversarial Training,1,1.9075507787244914,82.38
iter2,PGD Adversarial Training,2,1.051860842115081,90.17
iter2,PGD Adversarial Training,3,0.7812086698342996,91.15
iter2,PGD Adversarial Training,4,0.6886000357457062,92.39
iter2,PGD Adversarial Training,5,0.6362596441433628,93.04
iter2,PGD Adversarial Training,6,0.615182579643945,93.2
iter2,PGD Adversarial Training,7,0.5971955243966727,93.73
iter2,PGD Adversarial Training,8,0.5819726493567038,93.87
iter2,PGD Adversarial Training,9,0.5627549609014475,93.86
iter2,PGD Adversarial Training,10,0.5562662928978771,94.23
iter2,PGD Adversarial Training,11,0.5514944533168126,94.36
iter2,PGD Adversarial Training,12,0.5450634102323162,94.48
iter2,PGD Adversarial Training,13,0.5365354388253267,94.48
iter2,PGD Adversarial Training,14,0.5332891592211815,94.45
iter2,PGD Adversarial Training,15,0.5310566791974659,94.62
iter2,PGD Adversarial Training,16,0.5289954940901637,94.67
iter2,PGD Adversarial Training,17,0.5240293014913734,94.62
iter2,PGD Adversarial Training,18,0.5244448329848267,94.75
iter2,PGD Adversarial Training,19,0.5214324512207178,94.69
iter2,PGD Adversarial Training,20,0.5213819303746416,94.77
