Model,Clean Acc (%),Robust Acc FGSM (%),Robust Acc PGD (%),ASR FGSM (%),ASR PGD (%)
Standard CNN,99.05,5.35,0.0,94.61,100.0
PGD Adversarial Training,94.77,86.91,80.04,6.24,13.76
