Model,Clean Acc (%),Robust Acc FGSM (%),Robust Acc PGD (%),ASR FGSM (%),ASR PGD (%)
Standard CNN,99.05,29.61,0.66,69.94,99.37
PGD Adversarial Training,98.7,93.79,91.45,4.38,6.49
